x	y
0	0.840188
1	0.394383
2	0.783099
3	0.79844
4	0.911647
5	0.197551
6	0.335223
7	0.76823
8	0.277775
9	0.55397
x_interp	y_linterp
0	0.840188
0.25	0.728737
0.5	0.617285
0.75	0.505834
1	0.394383
1.25	0.491562
1.5	0.588741
1.75	0.68592
2	0.783099
2.25	0.786934
2.5	0.79077
4.79244e-322	0.840188
0.840188	0.465628
0.728737	0.515313
0.617285	0.564999
0.505834	0.614684
0.394383	0.66437
0.491562	0.621047
0.588741	0.577724
0.68592	0.534401
0.783099	0.491078
0.786934	0.489369
0.79077	0.487659
0.840188	0.465628
0.465628	0.632609
0.515313	0.610458
0.564999	0.588308
0.614684	0.566158
0.66437	0.544008
0.621047	0.563322
0.577724	0.582636
0.534401	0.601949
0.491078	0.621263
0.489369	0.622025
0.487659	0.622787
0.465628	0.632609
0.632609	0.558168
0.610458	0.568042
0.588308	0.577917
0.566158	0.587792
0 0.840188
0.09 0.75914
0.18 0.686188
0.27 0.621331
0.36 0.564569
0.45 0.515901
0.54 0.475329
0.63 0.442852
0.72 0.41847
0.81 0.402183
0.9 0.393991
0.99 0.393894
1.08 0.400837
1.17 0.41322
1.26 0.431028
1.35 0.45426
1.44 0.482917
1.53 0.516997
1.62 0.556502
1.71 0.60143
1.8 0.651784
1.89 0.707561
1.98 0.768762
2.07 0.830277
2.16 0.880736
2.25 0.919723
2.34 0.947236
2.43 0.963276
2.52 0.967844
2.61 0.960939
2.7 0.94256
2.79 0.912709
2.88 0.871385
2.97 0.818589
3.06 0.75977
3.15 0.712647
3.24 0.678583
3.33 0.657576
3.42 0.649628
3.51 0.654739
3.6 0.672908
3.69 0.704135
3.78 0.74842
3.87 0.805764
3.96 0.876166
4.05 0.953528
4.14 1.00833
4.23 1.03668
4.32 1.03856
4.41 1.01398
4.5 0.962943
4.59 0.885444
4.68 0.781484
4.77 0.651064
4.86 0.494183
4.95 0.310841
5.04 0.107629
5.13 -0.0656207
5.22 -0.198611
5.31 -0.291342
5.4 -0.343814
5.49 -0.356026
5.58 -0.327979
5.67 -0.259673
5.76 -0.151108
5.85 -0.00228337
5.94 0.186801
6.03 0.411936
6.12 0.618427
6.21 0.789443
6.3 0.924984
6.39 1.02505
6.48 1.08964
6.57 1.11876
6.66 1.1124
6.75 1.07057
6.84 0.993258
6.93 0.880475
7.02 0.7336
7.11 0.590305
7.2 0.467524
7.29 0.365258
7.38 0.283506
7.47 0.22227
7.56 0.181548
7.65 0.161341
7.74 0.161649
7.83 0.182471
7.92 0.223808
8.01 0.285484
8.1 0.350367
8.19 0.407155
8.28 0.455848
8.37 0.496445
8.46 0.528948
8.55 0.553356
8.64 0.569669
8.73 0.577887
8.82 0.57801
8.91 0.570037
9 0.55397
