# m=0, S=4
0 0
0.0605141 0.0605141
0.11901 0.1188
0.176279 0.175468
0.232795 0.230827
0.288844 0.285
0.344604 0.338005
0.400183 0.389792
0.455651 0.440273
0.511049 0.489338
0.566402 0.536862
0.621729 0.582719
0.677038 0.626777
0.732337 0.668908
0.787628 0.708988
0.842916 0.746896
0.898201 0.782517
0.953485 0.815744
1.00877 0.846476
1.06405 0.874618
1.11933 0.900086
1.17461 0.9228
1.22989 0.942692
1.28517 0.959702
1.34045 0.973776
1.39573 0.984872
1.45102 0.992956
1.5063 0.998003
1.56158 0.999999
1.61686 0.998936
1.67214 0.994817
1.72742 0.987657
1.7827 0.977476
1.83798 0.964306
1.89326 0.948186
1.94854 0.929167
2.00382 0.907306
2.0591 0.88267
2.11438 0.855335
2.16966 0.825383
2.22494 0.792908
2.28022 0.758008
2.3355 0.720789
2.39078 0.681366
2.44606 0.639859
2.50134 0.596395
2.55662 0.551107
2.6119 0.504134
2.66718 0.455619
2.72246 0.40571
2.77774 0.354561
2.83302 0.302327
2.8883 0.249168
2.94358 0.195247
2.99886 0.140729
3.05414 0.0857809
3.10942 0.03057
3.1647 -0.0247344
3.21998 -0.0799633
3.27526 -0.134948
3.33054 -0.18952
3.38582 -0.243512
3.4411 -0.29676
3.49638 -0.3491
3.55166 -0.400373
3.60694 -0.450422
3.66222 -0.499093
3.7175 -0.546238
3.77278 -0.591712
3.82806 -0.635378
3.88334 -0.6771
3.93862 -0.716751
3.9939 -0.754211
4.04918 -0.789364
4.10446 -0.822103
4.15974 -0.852328
4.21502 -0.879947
4.2703 -0.904875
4.32558 -0.927035
4.38085 -0.946361
4.43613 -0.962792
4.49141 -0.976279
4.54669 -0.986781
4.60197 -0.994265
4.65725 -0.998708
4.71253 -1.0001
4.76781 -0.998428
4.82309 -0.993705
4.87837 -0.985944
4.93365 -0.975167
4.98893 -0.961408
5.04421 -0.944709
5.09949 -0.925121
5.15476 -0.902704
5.21004 -0.877526
5.26532 -0.849664
5.3206 -0.819205
5.37588 -0.786239
5.43116 -0.75087
5.48644 -0.713204
5.54172 -0.673357
5.597 -0.63145
5.65228 -0.587613
5.70755 -0.541978
5.76283 -0.494686
5.81811 -0.445881
5.87339 -0.395713
5.92867 -0.344334
5.98395 -0.291902
6.03923 -0.238578
6.09451 -0.184523
6.14979 -0.129905
6.20506 -0.0748884
6.26034 -0.0196432
6.31562 0.0356622
6.3709 0.0908586
6.42618 0.145777
6.48146 0.20025
6.53674 0.254111
6.59201 0.307195
6.64729 0.359339
6.70257 0.410385
6.75785 0.460176
6.81313 0.508559
6.86841 0.555388
6.92369 0.600518
6.97896 0.643812
7.03424 0.685137
7.08952 0.724367
7.1448 0.761382
7.20008 0.796069
7.25536 0.828322
7.31063 0.858041
7.36591 0.885137
7.42119 0.909526
7.47647 0.931133
7.53175 0.949894
7.58703 0.965749
7.6423 0.978651
7.69758 0.988561
7.75286 0.995447
7.80814 0.99929
7.86342 1.00008
7.91869 0.997805
7.97397 0.992482
8.02925 0.984124
8.08453 0.972757
8.13981 0.958415
8.19508 0.941142
8.25036 0.920991
8.30564 0.898024
8.36092 0.87231
8.4162 0.843929
8.47147 0.812967
8.52675 0.779519
8.58203 0.743688
8.63731 0.705582
8.69258 0.665318
8.74786 0.62302
8.80314 0.578816
8.85842 0.532843
8.9137 0.48524
8.96897 0.436152
9.02425 0.385732
9.07953 0.334131
9.13481 0.281509
9.19008 0.228025
9.24536 0.173845
9.30064 0.119132
9.35592 0.0640554
9.41119 0.00878254
9.46647 -0.0465172
9.52175 -0.101675
9.57703 -0.156522
9.6323 -0.21089
9.68758 -0.264614
9.74286 -0.317528
9.79813 -0.369472
9.85341 -0.420286
9.90869 -0.469814
9.96397 -0.517907
10.0192 -0.564415
10.0745 -0.609198
10.1298 -0.652118
10.1851 -0.693044
10.2404 -0.731851
10.2956 -0.76842
10.3509 -0.802639
10.4062 -0.834404
10.4615 -0.863617
10.5167 -0.89019
10.572 -0.914041
10.6273 -0.935096
10.6826 -0.953293
10.7378 -0.968574
10.7931 -0.980894
10.8484 -0.990214
10.9037 -0.996506
10.959 -0.999751
11.0142 -0.999939
11.0695 -0.997069
11.1248 -0.99115
11.1801 -0.982201
11.2353 -0.970248
11.2906 -0.955328
11.3459 -0.937487
11.4012 -0.916779
11.4564 -0.893268
11.5117 -0.867025
11.567 -0.838131
11.6223 -0.806674
11.6776 -0.772751
11.7328 -0.736464
11.7881 -0.697925
11.8434 -0.657252
11.8987 -0.61457
11.9539 -0.570007
12.0092 -0.523702
12.0645 -0.475796
12.1198 -0.426434
12.175 -0.375768
12.2303 -0.323953
12.2856 -0.271148
12.3409 -0.217513
12.3961 -0.163213
12.4514 -0.108414
12.5067 -0.0532832
12.562 0.00201061
12.6172 0.0572984
12.6725 0.112411
12.7278 0.16718
12.7831 0.221438
12.8384 0.275019
12.8936 0.327759
12.9489 0.379497
13.0042 0.430075
13.0595 0.479337
13.1147 0.527134
13.17 0.57332
13.2253 0.617752
13.2806 0.660296
13.3358 0.70082
13.3911 0.739202
13.4464 0.775323
13.5017 0.809074
13.5569 0.840351
13.6122 0.869058
13.6675 0.895108
13.7228 0.918421
13.778 0.938926
13.8333 0.95656
13.8886 0.971269
13.9439 0.983008
13.9991 0.991741
14.0544 0.997442
14.1097 1.00009
14.165 0.999686
14.2203 0.996223
14.2755 0.989713
14.3308 0.980176
14.3861 0.967643
14.4414 0.952151
14.4966 0.933747
14.5519 0.912489
14.6072 0.88844
14.6625 0.861674
14.7177 0.832274
14.773 0.800328
14.8283 0.765936
14.8836 0.729201
14.9388 0.690237
14.9941 0.649162
15.0494 0.606102
15.1047 0.561189
15.1599 0.51456
15.2152 0.466357
15.2705 0.416728
15.3258 0.365825
15.381 0.313803
15.4363 0.260822
15.4916 0.207043
15.5469 0.15263
15.6021 0.0977513
15.6574 0.0425733
15.7127 -0.012735
15.768 -0.0680045
15.8232 -0.123066
15.8785 -0.177752
15.9338 -0.231894
15.9891 -0.285327
16.0443 -0.337887
16.0996 -0.389415
16.1549 -0.439752
16.2102 -0.488745
16.2654 -0.536243
16.3207 -0.582102
16.376 -0.626181
16.4313 -0.668346
16.4865 -0.708467
16.5418 -0.746422
16.5971 -0.782094
16.6524 -0.815376
16.7076 -0.846164
16.7629 -0.874365
16.8182 -0.899893
16.8735 -0.922669
16.9287 -0.942624
16.984 -0.959697
17.0393 -0.973836
17.0946 -0.984997
17.1498 -0.993146
17.2051 -0.998259
17.2604 -1.00032
17.3157 -0.999321
17.3709 -0.995268
17.4262 -0.988171
17.4815 -0.978053
17.5367 -0.964944
17.592 -0.948885
17.6473 -0.929925
17.7026 -0.908121
17.7578 -0.883541
17.8131 -0.856259
17.8684 -0.826359
17.9237 -0.793932
17.9789 -0.759077
18.0342 -0.721902
18.0895 -0.682519
18.1448 -0.64105
18.2 -0.59762
18.2553 -0.552363
18.3106 -0.505417
18.3659 -0.456925
18.4211 -0.407037
18.4764 -0.355903
18.5317 -0.303682
18.587 -0.250532
18.6422 -0.196615
18.6975 -0.142098
18.7528 -0.0871457
18.8081 -0.031927
18.8633 0.0233894
18.9186 0.0786344
18.9739 0.133639
19.0291 0.188235
19.0844 0.242256
19.1397 0.295536
19.195 0.347913
19.2502 0.399226
19.3055 0.449318
19.3608 0.498037
19.4161 0.545233
19.4713 0.590762
19.5266 0.634485
19.5819 0.676269
19.6372 0.715984
19.6924 0.753511
19.7477 0.788733
19.803 0.821545
19.8582 0.851844
19.9135 0.879539
19.9688 0.904545
20.0241 0.926785
20.0793 0.946192
20.1346 0.962706
20.1899 0.976276
20.2452 0.986862
20.3004 0.99443
20.3557 0.998958
20.411 1.00043
20.4663 0.998846
20.5215 0.994207
20.5768 0.986528
20.6321 0.975833
20.6873 0.962154
20.7426 0.945534
20.7979 0.926022
20.8532 0.903679
20.9084 0.878574
20.9637 0.850782
21.019 0.820388
21.0743 0.787487
21.1295 0.752178
21.1848 0.714568
21.2401 0.674774
21.2954 0.632917
21.3506 0.589125
21.4059 0.543532
21.4612 0.496276
21.5164 0.447503
21.5717 0.397362
21.627 0.346006
21.6823 0.293592
21.7375 0.24028
21.7928 0.186233
21.8481 0.131617
21.9034 0.0765986
21.9586 0.0213457
22.0139 -0.0339726
22.0692 -0.0891871
22.1244 -0.144129
22.1797 -0.19863
22.235 -0.252525
22.2903 -0.305647
22.3455 -0.357835
22.4008 -0.408929
22.4561 -0.458773
22.5113 -0.507214
22.5666 -0.554104
22.6219 -0.599301
22.6772 -0.642665
22.7324 -0.684065
22.7877 -0.723373
22.843 -0.76047
22.8983 -0.795242
22.9535 -0.827582
23.0088 -0.857393
23.0641 -0.884582
23.1193 -0.909067
23.1746 -0.930772
23.2299 -0.949632
23.2852 -0.965588
23.3404 -0.978593
23.3957 -0.988605
23.451 -0.995595
23.5062 -0.999541
23.5615 -1.00043
23.6168 -0.998263
23.6721 -0.993043
23.7273 -0.984786
23.7826 -0.973519
23.8379 -0.959275
23.8932 -0.942099
23.9484 -0.922042
24.0037 -0.899166
24.059 -0.873541
24.1142 -0.845246
24.1695 -0.814366
24.2248 -0.780996
24.2801 -0.745239
24.3353 -0.707203
24.3906 -0.667005
24.4459 -0.624768
24.5011 -0.58062
24.5564 -0.534697
24.6117 -0.48714
24.667 -0.438093
24.7222 -0.387706
24.7775 -0.336134
24.8328 -0.283534
24.888 -0.230068
24.9433 -0.175898
24.9986 -0.12119
25.0539 -0.0661113
25.1091 -0.0108305
25.1327 0.0127988
# m=1, S=0
0 0
0.0605141 0.0604772
0.11901 0.118729
0.176279 0.175368
0.232795 0.230698
0.288844 0.284844
0.344604 0.337824
0.400183 0.389587
0.455651 0.440047
0.511049 0.489092
0.566402 0.5366
0.621729 0.582441
0.677038 0.626487
0.732337 0.668609
0.787628 0.708682
0.842916 0.746586
0.898201 0.782208
